id,lang,arabic,translation,category,reference,grade
1751,es,"عن أُمّ عَطِيَّةَ الأنصارية رضي الله عنها قالت: «دخل علينا رسول الله صلى الله عليه وسلم حين تُوُفِّيَتْ ابنته، فقال: اغْسِلْنَهَا ثلاثا، أو خمسا، أو أكثر من ذلك -إن رَأَيْتُنَّ ذلك- بماء وَسِدْرٍ، واجْعَلْنَ في الأخيرة كافُورا -أو شيئا من كافور- فإذا فَرَغْتُنَّ فَآذِنَّنِي ». فلما فَرَغْنَا آذَنَّاهُ، فأعطانا حَقْوَهُ، وقال: أَشْعِرْنَهَا بِهِ -تعني إزاره-. 
وفي رواية «أو سَبْعا»، وقال: « ابْدَأْنَ بِمَيَامِنِهَا ومَواضِعِ الوُضوء منها» وإن أُمّ عَطِيَّةَ قالت: وجعلنا رأسها ثلاثة قُرُون».","Umm Atiya Al-Ansariya, que Al-lah esté complacido de ella, dijo: El Mensajero de Al-lah, que la paz y las bendiciones de Al-lah sean con él, entró donde nos encontrábamos, cuando falleció su hija, y dijo: “Lávenla con agua y Sidr tres o cinco veces, o más si fuese necesario. Y en el último lavado pongan alcanfor o algo similar y avísenme cuando terminen”. Y cuando terminamos, le avisamos y nos dio su izar (tela con la que se cubría desde la cintura para abajo) y nos dijo: “Cúbranla con ella”. En otro relato, dijo: “Lávenla siete veces y comiencen por los miembros de la derecha y las partes del cuerpo que se laven al realizar la ablución menor”. Entonces Umm Atiya dijo: “Le hicimos tres trenzas en la cabeza”.","el mensajero de al-lah, la paz y las bendiciones de al-lah sean con él, entró...",Registrado por Al-Bujari y Muslim,Sahih
1751,en,,,,,
1751,ar,,,,,
2750,es,عن السَّائب بن يزيد رضي الله عنهما قال: «حُجَّ بي مع رسول الله صلى الله عليه وسلم في حجة الوداع، وأنا ابن سبع سنين».,"De Saib Ibn Yazid -Al-lah esté complacido de él- dijo: ‘Me llevaron para hacer la peregrinación con el Mensajero, que la paz y las bendiciones de Al-lah sean con él, en el Hayy de la despedida. Y yo tenía la edad de siete años’.","me llevaron para hacer la peregrinación con el mensajero, que la paz y las be...",Registrado por Al-Bujari,Sahih
2750,en,,,,,
2750,ar,,,,,
2751,es,عن أنس بن مالك رضي الله عنه : أنَّ رسول الله صلى الله عليه وسلم حَجَّ على رَحْلٍ وكانتْ زَامِلَتَهُ.,"De Anas Ibn Malik, que Al-lah esté complacido de él, que el Mensajero de Al-lah, que la paz y las bendiciones de Al-lah sean con él, hizo la peregrinación con una sola montura, y sin llevar otra aparte para transportar los enseres y las provisiones.","el mensajero de al-lah, que la paz y las bendiciones de al-lah sean con él, h...",Registrado por Al-Bujari,Sahih
2751,en,,,,,
2751,ar,,,,,
2752,es,عن سلمان الفارسي رضي الله عنه مرفوعاً: «رباط يوم وليلة خير من صيام شهر وقيامه، وإن مات جرى عليه عمله الذي كان يعمل، وأُجْرِيَ عليه رزقه، وأَمِنَ الفَتَّانَ».,"De Salman Al Farisy -Al-lah esté complacido con él- marfu'an: ""Estar en un lugar expuesto al enemigo, un día y una noche, es mejor que ayunar un mes y hacer rezos por la noche durante todo el mes. Y si muere se considera que sigue haciendo las obras que hacía antes de morir,y también su sustento se mantiene y está protegido de las pruebas"".","estar en un lugar expuesto al enemigo, un día y una noche, es mejor que ayuna...",Registrado por Muslim,Sahih
2752,en,,,,,
2752,ar,,,,,
